full_name,date_of_birth,phone_number,address,class_name,course_id
Phan The Son,4/1/2002,1234567895,Son Tay - Ha Noi,k65a7,2200
Nguyen Cong Vu,4/2/2002,1234567895,Ba Vi - Ha Noi,k65a8,2200
Le Huu Quan,4/3/2002,1234567895,Son La,k65a9,2200
Le Quang Truong,4/4/2002,1234567895,Cam Pha - Quang Ninh,k65a10,2200
Khuong Quoc Viet,4/5/2002,1234567895,Hoan Kiem - Ha Noi,k65a4,2200
Tran Thanh Nam,4/6/2002,1234567895,Binh Long - Binh Duong,k65a4,2200
Hoang Thi Anh,14/7/2002,1234567895,Vinh Long,k65a13,2200
Ninh Thi Lan Ngoc,4/8/2002,1234567895, Ha Noi,k65a7,2200
Tran Ba Hoan,5/9/2000,1234567895, Ha Noi,k65a7,2000
Le Hoang Nam,4/10/2002,1234567895,Son Tay - Ha Noi,k65a7,2200
Tran Xuan Thanh,4/11/2002,1234567895,Son La,k65a7,2200
Tran Thi Ly,24/09/2002,1234567895,Ha Noi,k65a4,2200
Nguyen Minh Hieu,14/10/2002,1234567895,Son Tay - Ha Noi,k65a7,2200
Nguyen Minh Hang,4/11/2001,1234567895, Ha Noi,k65a4,2100
Khong Van Hoang,4/1/2000,1234567895,Cao Bang,k65a7,2000
